,Year,Conference,Round,Team1,Seed1,Odds1,Team2,Seed2,Odds2,WinningTeam,SeriesLength
148,2014,Western,Round 1,Houston Rockets,4,-200.0,Portland Trail Blazers,5,170.0,2,6.0
149,2013,,NBA Finals,Miami Heat,1,-220.0,San Antonio Spurs,2,180.0,1,7.0
150,2013,Eastern,Conf Finals,Miami Heat,1,-850.0,Indiana Pacers,3,575.0,1,7.0
151,2013,Western,Conf Finals,San Antonio Spurs,2,-145.0,Memphis Grizzlies,5,125.0,1,4.0
152,2013,Eastern,Conf Semis,Miami Heat,1,-3000.0,Chicago Bulls,5,1100.0,1,5.0
153,2013,Eastern,Conf Semis,New York Knicks,2,-190.0,Indiana Pacers,3,165.0,2,6.0
154,2013,Western,Conf Semis,Oklahoma City Thunder,1,107.0,Memphis Grizzlies,5,-127.0,2,5.0
155,2013,Western,Conf Semis,San Antonio Spurs,2,-950.0,Golden State Warriors,6,625.0,1,6.0
156,2013,Eastern,Round 1,Miami Heat,1,-20000.0,Milwaukee Bucks,8,7500.0,1,4.0
157,2013,Eastern,Round 1,New York Knicks,2,-410.0,Boston Celtics,7,320.0,1,6.0
158,2013,Eastern,Round 1,Indiana Pacers,3,-380.0,Atlanta Hawks,6,300.0,1,6.0
159,2013,Eastern,Round 1,Brooklyn Nets,4,-145.0,Chicago Bulls,5,125.0,2,7.0
160,2013,Western,Round 1,Oklahoma City Thunder,1,-1900.0,Houston Rockets,8,875.0,1,6.0
161,2013,Western,Round 1,San Antonio Spurs,2,-1000.0,Los Angeles Lakers,7,650.0,1,4.0
162,2013,Western,Round 1,Denver Nuggets,3,-460.0,Golden State Warriors,6,355.0,2,6.0
163,2013,Western,Round 1,Los Angeles Clippers,4,-180.0,Memphis Grizzlies,5,160.0,2,6.0
164,2012,,NBA Finals,Oklahoma City Thunder,2,-175.0,Miami Heat,2,155.0,2,5.0
165,2012,Eastern,Conf Finals,Miami Heat,2,-530.0,Boston Celtics,4,400.0,1,7.0
166,2012,Western,Conf Finals,San Antonio Spurs,1,-205.0,Oklahoma City Thunder,2,175.0,2,6.0
167,2012,Eastern,Conf Semis,Miami Heat,2,-950.0,Indiana Pacers,3,625.0,1,6.0
168,2012,Eastern,Conf Semis,Boston Celtics,4,-205.0,Philadelphia 76ers,8,175.0,1,7.0
169,2012,Western,Conf Semis,San Antonio Spurs,1,-2500.0,Los Angeles Clippers,5,1000.0,1,4.0
