Year,Conference,Round,Team1,Seed1,Odds1,Team2,Seed2,Odds2,WinningTeam,Result
2008,,NBA Finals,Boston Celtics,1,+160,Los Angeles Lakers,1,-180,Boston Celtics,4-2
2008,Eastern,Conf Finals,Boston Celtics,1,-135,Detroit Pistons,2,+115,Boston Celtics,4-2
2008,Western,Conf Finals,Los Angeles Lakers,1,-250,San Antonio Spurs,3,+210,Los Angeles Lakers,4-1
2008,Eastern,Conf Semis,Boston Celtics,1,-900,Cleveland Cavaliers,4,+600,Boston Celtics,4-3
2008,Eastern,Conf Semis,Detroit Pistons,2,-305,Orlando Magic,3,+255,Detroit Pistons,4-1
2008,Western,Conf Semis,Los Angeles Lakers,1,-350,Utah Jazz,4,+290,Los Angeles Lakers,4-2
2008,Western,Conf Semis,New Orleans Hornets,2,+115,San Antonio Spurs,6,-135,San Antonio Spurs,4-3
2008,Eastern,Round 1,Boston Celtics,1,-8000,Atlanta Hawks,8,+4000,Boston Celtics,4-3
2008,Eastern,Round 1,Detroit Pistons,2,-1300,Philadelphia 76ers,7,+850,Detroit Pistons,4-2
2008,Eastern,Round 1,Orlando Magic,3,-310,Toronto Raptors,6,+260,Orlando Magic,4-1
2008,Eastern,Round 1,Cleveland Cavaliers,4,-115,Washington Wizards,5,-105,Cleveland Cavaliers,4-2
2008,Western,Round 1,Los Angeles Lakers,1,-560,Denver Nuggets,8,+460,Los Angeles Lakers,4-0
2008,Western,Round 1,New Orleans Hornets,2,-145,Dallas Mavericks,7,+125,New Orleans Hornets,4-1
2008,Western,Round 1,San Antonio Spurs,3,-140,Phoenix Suns,6,+120,San Antonio Spurs,4-1
2008,Western,Round 1,Houston Rockets,5,+185,Utah Jazz,4,-215,Utah Jazz,4-2
2007,,NBA Finals,San Antonio Spurs,3,-450,Cleveland Cavaliers,2,+360,San Antonio Spurs,4-0
2007,Eastern,Conf Finals,Detroit Pistons,1,-330,Cleveland Cavaliers,2,+270,Cleveland Cavaliers,4-2
2007,Western,Conf Finals,San Antonio Spurs,3,-440,Utah Jazz,4,+350,San Antonio Spurs,4-1
2007,Eastern,Conf Semis,Detroit Pistons,1,-175,Chicago Bulls,5,+155,Detroit Pistons,4-2
2007,Eastern,Conf Semis,Cleveland Cavaliers,2,-260,New Jersey Nets,6,+220,Cleveland Cavaliers,4-2
2007,Western,Conf Semis,Phoenix Suns,2,-150,San Antonio Spurs,3,+130,San Antonio Spurs,4-2
2007,Western,Conf Semis,Utah Jazz,4,-135,Golden State Warriors,8,+115,Utah Jazz,4-1
2007,Eastern,Round 1,Detroit Pistons,1,-2200,Orlando Magic,8,+1400,Detroit Pistons,4-0
